Date,Infection,Severe,Death,Recovery,suspected,Observation
2020.01.10,41,7,1,2,,739
2020.01.11,41,7,1,6,,717
2020.01.12,41,7,1,6,,687
2020.01.13,41,7,1,6,,576
2020.01.14,41,6,1,7,,313
2020.01.15,41,5,2,12,,119
2020.01.16,45,5,2,15,,98
2020.01.17,62,8,2,19,,82
2020.01.18,121,,3,24,,
2020.01.19,198,44,3,25,,90
2020.01.20,270,51,6,25,,331
2020.01.21,375,65,9,28,,426
2020.01.22,444,71,17,28,,1693
2020.01.23,549,106,24,31,,2776
2020.01.24,729,100,39,32,,4711
2020.01.25,1052,129,52,42,,6904
2020.01.26,1423,221,76,44,,9103
2020.01.27,2714,563,100,47,,15559
2020.01.28,3554,671,125,80,,20366
2020.01.29,4586,711,162,90,,26632
2020.01.30,5806,804,204,116,,32340
2020.01.31,7153,956,249,166,,36838
2020.02.01,9074,1118,294,215,,43121
2020.02.02,11177,1223,350,295,,48171
2020.02.03,13522,1567,414,396,,58544
2020.02.04,16678,1809,479,520,,66764
2020.02.05,19655,2328,549,633,,64127
2020.02.06,22112,3161,618,817,,64057
2020.02.07,24953,4188,699,1115,,67802
2020.02.08,27100,4093,780,1439,23638,70438
2020.02.09,29631,4269,871,1795,18438,73127
